country,year,population
India,2026,"1,476,625,576"
India,2025,"1,463,865,525"
India,2024,"1,450,935,791"
India,2023,"1,438,069,596"
India,2022,"1,425,423,212"
India,2020,"1,402,617,695"
India,2015,"1,328,024,498"
India,2010,"1,243,481,564"
India,2005,"1,154,676,322"
India,2000,"1,057,922,733"
India,1995,"960,301,044"
India,1990,"864,972,221"
India,1985,"772,647,793"
India,1980,"687,354,025"
India,1975,"611,309,535"
India,1970,"545,864,268"
India,1965,"490,140,146"
India,1960,"435,990,338"
India,1955,"387,700,887"
China,2026,"1,412,914,089"
China,2025,"1,416,096,094"
China,2024,"1,419,321,278"
China,2023,"1,422,584,933"
China,2022,"1,425,179,569"
China,2020,"1,426,106,093"
China,2015,"1,396,134,174"
China,2010,"1,351,561,514"
China,2005,"1,310,027,136"
China,2000,"1,269,581,175"
China,1995,"1,220,133,927"
China,1990,"1,153,582,724"
China,1985,"1,059,807,820"
China,1980,"983,163,542"
China,1975,"916,116,793"
China,1970,"823,308,967"
China,1965,"723,415,733"
China,1960,"654,802,069"
China,1955,"603,547,007"
United States,2026,"349,035,494"
United States,2025,"347,275,807"
United States,2024,"345,426,571"
United States,2023,"343,477,335"
United States,2022,"341,534,046"
United States,2020,"339,436,159"
United States,2015,"326,126,497"
United States,2010,"311,062,790"
United States,2005,"295,716,664"
United States,2000,"281,484,131"
United States,1995,"268,205,795"
United States,1990,"253,373,387"
United States,1985,"241,690,443"
United States,1980,"229,858,655"
United States,1975,"219,129,301"
United States,1970,"207,796,339"
United States,1965,"195,653,774"
United States,1960,"180,274,555"
United States,1955,"166,200,024"
Indonesia,2026,"287,886,782"
Indonesia,2025,"285,721,236"
Indonesia,2024,"283,487,931"
Indonesia,2023,"281,190,067"
Indonesia,2022,"278,830,529"
Indonesia,2020,"274,814,866"
Indonesia,2015,"261,799,249"
Indonesia,2010,"246,305,322"
Indonesia,2005,"230,871,650"
Indonesia,2000,"216,077,790"
Indonesia,1995,"199,888,057"
Indonesia,1990,"183,501,098"
Indonesia,1985,"166,776,185"
Indonesia,1980,"148,950,540"
Indonesia,1975,"131,843,848"
Indonesia,1970,"115,657,495"
Indonesia,1965,"101,365,130"
Indonesia,1960,"88,296,070"
Indonesia,1955,"77,273,507"
Pakistan,2026,"259,299,791"
Pakistan,2025,"255,219,554"
Pakistan,2024,"251,269,164"
Pakistan,2023,"247,504,495"
Pakistan,2022,"243,700,667"
Pakistan,2020,"235,001,746"
Pakistan,2015,"217,290,883"
Pakistan,2010,"199,239,047"
Pakistan,2005,"175,453,212"
Pakistan,2000,"154,879,127"
Pakistan,1995,"134,582,253"
Pakistan,1990,"116,155,576"
Pakistan,1985,"98,229,285"
Pakistan,1980,"82,291,010"
Pakistan,1975,"69,461,175"
Pakistan,1970,"60,166,719"
Pakistan,1965,"52,209,010"
Pakistan,1960,"45,709,310"
Pakistan,1955,"40,098,069"
Nigeria,2026,"242,431,832"
Nigeria,2025,"237,527,782"
Nigeria,2024,"232,679,478"
Nigeria,2023,"227,882,945"
Nigeria,2022,"223,150,896"
Nigeria,2020,"213,996,181"
Nigeria,2015,"190,671,878"
Nigeria,2010,"166,642,886"
Nigeria,2005,"145,017,253"
Nigeria,2000,"126,382,494"
Nigeria,1995,"110,819,428"
Nigeria,1990,"97,120,925"
Nigeria,1985,"84,897,973"
Nigeria,1980,"73,764,641"
Nigeria,1975,"63,410,815"
Nigeria,1970,"55,893,838"
Nigeria,1965,"50,086,764"
Nigeria,1960,"45,053,782"
Nigeria,1955,"40,935,635"
Brazil,2026,"213,562,666"
Brazil,2025,"212,812,405"
Brazil,2024,"211,998,573"
Brazil,2023,"211,140,729"
Brazil,2022,"210,306,415"
Brazil,2020,"208,660,842"
Brazil,2015,"201,675,532"
Brazil,2010,"193,701,929"
Brazil,2005,"184,688,101"
